Model,Train_RMSE,Train_MAE,Train_R2,Test_RMSE,Test_MAE,Test_R2
Random Forest,3531.6476295685275,1016.196624090901,0.9132337447065607,3758.30977021952,1869.7798388664587,0.9494696990373105
Decision Tree,302.28376509971076,148.53238095238095,0.9993643387031191,3980.1188668025425,1688.033333333333,0.9433292677784562
XGBoost,514.3816372597296,337.0775451660156,0.9981593489646912,4380.5769026465,1996.2796630859375,0.9313517808914185
Linear Regression,9655.911948854677,4248.69537082048,0.35139137814504284,12141.973349015772,4918.126946138259,0.4725937287858656
SVR,12152.649288611876,2912.7535855889787,-0.02739643266390468,17031.067889191858,4170.638141509445,-0.03764906537660173
